"LastWriteTime","SizeMB","Name","FullName"
"23/06/2026 00:57:59","0",".credit-guard-state.json","C:\ExternalOpinion_Agent\.claude\.credit-guard-state.json"
"23/06/2026 00:46:28","0,01","02_MAPPA_FONTI_DA_INTEGRARE.md","C:\ExternalOpinion_Centrale\00_CENTRALE_NUCLEARE\02_MAPPA_FONTI_DA_INTEGRARE.md"
"23/06/2026 00:46:27","0,06","02_MAPPA_FONTI_DA_INTEGRARE.csv","C:\ExternalOpinion_Centrale\00_CENTRALE_NUCLEARE\02_MAPPA_FONTI_DA_INTEGRARE.csv"
"23/06/2026 00:46:26","0","01_PROTOCOLLO_AI_AGENTI.md","C:\ExternalOpinion_Centrale\00_CENTRALE_NUCLEARE\01_PROTOCOLLO_AI_AGENTI.md"
"23/06/2026 00:46:26","0","00_MANIFESTO_CENTRALE_NUCLEARE.md","C:\ExternalOpinion_Centrale\00_CENTRALE_NUCLEARE\00_MANIFESTO_CENTRALE_NUCLEARE.md"
"23/06/2026 00:38:05","0","INDICE_CERVELLONE.md","C:\ExternalOpinion_Centrale\00_CENTRALE_NUCLEARE\INDICE_CERVELLONE.md"
"23/06/2026 00:38:05","0","03_REGISTRO_DECISIONI.md","C:\ExternalOpinion_Centrale\00_CENTRALE_NUCLEARE\03_REGISTRO_DECISIONI.md"
"23/06/2026 00:34:43","0","02_PASSAGGI_CERTIFICAZIONE.md","C:\ExternalOpinion_Centrale\00_CENTRALE_NUCLEARE\02_PASSAGGI_CERTIFICAZIONE.md"
"23/06/2026 00:34:42","0","01_REGOLE_OPERATIVE.md","C:\ExternalOpinion_Centrale\00_CENTRALE_NUCLEARE\01_REGOLE_OPERATIVE.md"
"23/06/2026 00:34:42","0","00_STATO_CORRENTE.md","C:\ExternalOpinion_Centrale\00_CENTRALE_NUCLEARE\00_STATO_CORRENTE.md"
"23/06/2026 00:23:28","0","RIMOZIONE_OLLAMA_BLOBS_20260623.md","C:\ExternalOpinion_Centrale\00_CENTRALE_NUCLEARE\RIMOZIONE_OLLAMA_BLOBS_20260623.md"
"23/06/2026 00:15:28","0","CHECK_OLLAMA_RIMOZIONE.md","C:\ExternalOpinion_Centrale\00_CENTRALE_NUCLEARE\CHECK_OLLAMA_RIMOZIONE.md"
"23/06/2026 00:10:33","0","INDICE_CENTRALE_OPERATIVA.md","C:\ExternalOpinion_Centrale\INDICE_CENTRALE_OPERATIVA.md"
"22/06/2026 23:40:12","0,18","EO_VPS_BACKUP_CODE_PUBLIC_20260622_2100.tar.gz","C:\ExternalOpinion_Backups\EO_VPS_BACKUP_CODE_PUBLIC_20260622_2100.tar.gz"
"22/06/2026 23:40:12","0,18","EO_VPS_BACKUP_CODE_PUBLIC_20260622_2100.tar.gz","C:\Users\simone\Downloads\EO_VPS_BACKUP_CODE_PUBLIC_20260622_2100.tar.gz"
"22/06/2026 23:40:12","0,18","EO_VPS_BACKUP_CODE_PUBLIC_20260622_2100.tar.gz","C:\ExternalOpinion_Centrale\01_BACKUP_SICURI\VPS_HOSTINGER\EO_VPS_BACKUP_CODE_PUBLIC_20260622_2100.tar.gz"
"21/06/2026 19:45:45","0,17","quick-intake.html","C:\ExternalOpinion_Agent\public\quick-intake.html"
"21/06/2026 14:25:15","0,05","server-v18.3.js","C:\ExternalOpinion_Agent\server-v18.3.js"
"21/06/2026 14:24:45","0,01","stripe-webhook-handler.js","C:\ExternalOpinion_Agent\stripe-webhook-handler.js"
"21/06/2026 14:21:09","0,16","app.html","C:\ExternalOpinion_Agent\public\app.html"
"21/06/2026 14:18:04","0,16","external-opinion-operativa.html","C:\Users\simone\Downloads\external-opinion-operativa.html"
"21/06/2026 14:18:04","0,16","external-opinion-operativa.html","G:\Il mio Drive\APP grafica logo\external-opinion-operativa.html"
"21/06/2026 11:15:18","0,02","index.html","C:\ExternalOpinion_Agent\public\index.html"
"20/06/2026 01:28:27","0","settings.local.json","C:\ExternalOpinion_Agent\.claude\settings.local.json"
"20/06/2026 01:06:00","0","credit-guard.js","C:\ExternalOpinion_Agent\.claude\hooks\credit-guard.js"
"20/06/2026 00:50:41","0,02","gioiello.html","C:\ExternalOpinion_Agent\public\gioiello.html"
"19/06/2026 21:32:12","0,01","report_aste_ita.md","C:\Users\simone\Downloads\report_aste_ita.md"
"19/06/2026 21:20:57","0","externalopinion web.har","G:\Il mio Drive\external opinion.com\externalopinion web.har"
"19/06/2026 18:22:04","0,44","external_opinion_quick_intake_gioiello.html","G:\Il mio Drive\APP grafica logo - Copia\external_opinion_quick_intake_gioiello.html"
"19/06/2026 18:22:04","0,44","external_opinion_quick_intake_gioiello.html","G:\Il mio Drive\APP grafica logo\external_opinion_quick_intake_gioiello.html"
"19/06/2026 18:06:48","0,02","from pathlib.txt","G:\Il mio Drive\APP grafica logo - Copia\from pathlib.txt"
"19/06/2026 18:06:48","0,02","from pathlib.txt","G:\Il mio Drive\APP grafica logo\from pathlib.txt"
